Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Orlando,Weekly,"2024-01-21 00:00:00",Conventional,0.944984293,675882.65,424153.20,2044.60,17.59,249667.26,,,
Orlando,Weekly,"2024-01-14 00:00:00",Conventional,1.014978654,661219.56,411420.72,9622.91,34.02,240141.92,,,
Orlando,Weekly,"2024-01-08 00:00:00",Conventional,0.929233596,681567.68,444526.87,5317.39,9.37,231714.05,,,
Peoria/Springfield,Weekly,"2024-01-28 00:00:00",Conventional,0.863658458,133830.35,86770.91,12968.25,170.86,33920.33,,,
Peoria/Springfield,Weekly,"2024-01-21 00:00:00",Conventional,0.946652453,121483.29,70442.22,20715.09,608.17,29717.81,,,
Peoria/Springfield,Weekly,"2024-01-14 00:00:00",Conventional,0.929142248,132036.70,75126.27,23588.94,720.98,32600.51,,,
Peoria/Springfield,Weekly,"2024-01-08 00:00:00",Conventional,0.846148063,120938.71,77242.33,12977.15,353.34,30365.89,,,
Philadelphia,Weekly,"2024-01-28 00:00:00",Conventional,1.053319212,616032.90,172786.98,239190.17,8665.82,195389.93,,,
Philadelphia,Weekly,"2024-01-21 00:00:00",Conventional,1.081049214,597294.67,209356.19,178825.91,10959.65,198152.92,,,
Philadelphia,Weekly,"2024-01-14 00:00:00",Conventional,1.078829729,616062.80,176537.56,237082.67,9934.98,192507.61,,,
Philadelphia,Weekly,"2024-01-08 00:00:00",Conventional,1.082620668,609103.38,199418.83,198877.05,11282.46,199525.03,,,
Phoenix/Tucson,Weekly,"2024-01-28 00:00:00",Conventional,0.915843985,1300535.40,694183.57,395065.89,15808.17,195477.78,,,
Phoenix/Tucson,Weekly,"2024-01-21 00:00:00",Conventional,0.957619922,1216763.80,640661.61,334753.85,18026.31,223322.04,,,
Phoenix/Tucson,Weekly,"2024-01-14 00:00:00",Conventional,0.903590716,1328682.73,645605.86,353197.68,18063.20,311815.98,,,
Phoenix/Tucson,Weekly,"2024-01-08 00:00:00",Conventional,1.004830711,1199175.98,646026.30,322361.77,19511.04,211276.86,,,
Pittsburgh,Weekly,"2024-01-28 00:00:00",Conventional,0.990073017,161339.73,106612.07,10153.66,24.55,44549.45,,,
Pittsburgh,Weekly,"2024-01-21 00:00:00",Conventional,0.985539881,172557.42,116330.38,9293.99,14.58,46918.46,,,
Pittsburgh,Weekly,"2024-01-14 00:00:00",Conventional,0.961299943,155482.95,98273.48,8205.31,39.56,48964.59,,,
Pittsburgh,Weekly,"2024-01-08 00:00:00",Conventional,0.920735532,170977.58,106638.75,11348.12,45.11,52945.60,,,
Plains,Weekly,"2024-01-28 00:00:00",Conventional,1.004323556,2044606.47,1090882.20,309598.60,2653.84,641471.84,,,
Plains,Weekly,"2024-01-21 00:00:00",Conventional,0.940763844,1933030.04,1079781.86,254986.89,3163.99,595097.30,,,
Plains,Weekly,"2024-01-14 00:00:00",Conventional,0.947919004,2092366.10,1142354.48,318690.58,2857.82,628463.23,,,
Plains,Weekly,"2024-01-08 00:00:00",Conventional,0.915382070,2074092.09,1161144.22,330161.14,3362.68,579424.04,,,
Portland,Weekly,"2024-01-28 00:00:00",Conventional,1.139979971,612600.45,291901.64,205905.63,30186.14,84607.04,,,
Portland,Weekly,"2024-01-21 00:00:00",Conventional,1.161463030,544362.57,269052.78,171334.57,31127.63,72847.58,,,
Portland,Weekly,"2024-01-14 00:00:00",Conventional,1.105096193,671141.69,308755.84,231200.87,33590.84,97594.13,,,
Portland,Weekly,"2024-01-08 00:00:00",Conventional,1.191725300,599560.51,287924.70,185956.92,33747.69,91931.19,,,
Providence,Weekly,"2024-01-28 00:00:00",Conventional,1.221009770,123624.60,24820.90,79262.23,13.72,19527.76,,,
Providence,Weekly,"2024-01-21 00:00:00",Conventional,1.308298128,93571.00,27222.00,47916.56,14.18,18418.27,,,
Providence,Weekly,"2024-01-14 00:00:00",Conventional,1.372137813,86411.08,19272.47,47881.90,11.09,19245.62,,,
Providence,Weekly,"2024-01-08 00:00:00",Conventional,1.400929391,98205.08,18230.30,52880.43,28.45,27065.90,,,
Raleigh/Greensboro,Weekly,"2024-01-28 00:00:00",Conventional,1.131561411,443390.85,207980.57,73029.55,879.31,161501.42,,,
Raleigh/Greensboro,Weekly,"2024-01-21 00:00:00",Conventional,1.126810613,453415.20,217320.35,78998.44,402.87,156693.54,,,
Raleigh/Greensboro,Weekly,"2024-01-14 00:00:00",Conventional,1.092595992,475471.33,238749.08,73393.36,399.89,162929.00,,,
Raleigh/Greensboro,Weekly,"2024-01-08 00:00:00",Conventional,1.125945481,440300.05,205285.18,70649.76,481.65,163883.46,,,
Richmond/Norfolk,Weekly,"2024-01-28 00:00:00",Conventional,1.025811619,328381.73,178841.40,50576.87,222.39,98741.08,,,
Richmond/Norfolk,Weekly,"2024-01-21 00:00:00",Conventional,1.033409285,333488.98,177021.30,59668.06,87.32,96712.29,,,
Richmond/Norfolk,Weekly,"2024-01-14 00:00:00",Conventional,0.985299784,363124.56,204600.69,56344.18,93.14,102086.55,,,
Richmond/Norfolk,Weekly,"2024-01-08 00:00:00",Conventional,1.038292058,326953.91,154566.34,73135.19,131.64,99120.73,,,
Roanoke,Weekly,"2024-01-28 00:00:00",Conventional,0.944311844,202496.35,126507.99,19263.07,489.81,56235.47,,,
Roanoke,Weekly,"2024-01-21 00:00:00",Conventional,0.959436889,198832.54,114856.82,29315.20,516.12,54144.40,,,
Roanoke,Weekly,"2024-01-14 00:00:00",Conventional,0.913919079,210771.69,133442.43,22821.12,567.52,53940.62,,,
Roanoke,Weekly,"2024-01-08 00:00:00",Conventional,0.964077539,200482.21,104773.25,39223.38,614.67,55870.93,,,
Sacramento,Weekly,"2024-01-28 00:00:00",Conventional,1.168923491,485755.84,283471.58,85108.29,3836.43,113339.54,,,
Sacramento,Weekly,"2024-01-21 00:00:00",Conventional,1.241419085,476907.48,266633.43,91605.65,3961.57,114706.82,,,
Sacramento,Weekly,"2024-01-14 00:00:00",Conventional,1.208546584,484874.65,284208.38,81193.56,4595.86,114876.86,,,
Sacramento,Weekly,"2024-01-08 00:00:00",Conventional,1.089745183,513625.59,291807.20,112338.65,3652.29,105827.45,,,
"San Diego",Weekly,"2024-01-28 00:00:00",Conventional,1.172898855,551631.11,327143.67,33722.51,54549.40,136215.53,,,
"San Diego",Weekly,"2024-01-21 00:00:00",Conventional,1.173203812,527835.30,300386.79,41748.96,39543.50,146156.05,,,
"San Diego",Weekly,"2024-01-14 00:00:00",Conventional,1.104260363,589992.16,363164.49,58227.52,39263.67,129336.48,,,
"San Diego",Weekly,"2024-01-08 00:00:00",Conventional,1.143036335,553510.35,344303.35,28680.41,38161.45,142365.15,,,
"San Francisco",Weekly,"2024-01-28 00:00:00",Conventional,1.090734488,867386.96,639347.31,93994.26,7089.68,126955.70,,,
"San Francisco",Weekly,"2024-01-21 00:00:00",Conventional,1.404497220,680241.14,484060.56,60253.37,6341.79,129585.43,,,
"San Francisco",Weekly,"2024-01-14 00:00:00",Conventional,1.280876433,805400.80,602738.64,74340.02,6513.57,121808.57,,,
